"행정구역","2023년10월_계_총인구수","2023년10월_계_연령구간인구수","2023년10월_계_0~9세","2023년10월_계_10~19세","2023년10월_계_20~29세","2023년10월_계_30~39세","2023년10월_계_40~49세","2023년10월_계_50~59세","2023년10월_계_60~69세","2023년10월_계_70~79세","2023년10월_계_80~89세","2023년10월_계_90~99세","2023년10월_계_100세 이상","2023년10월_남_총인구수","2023년10월_남_연령구간인구수","2023년10월_남_0~9세","2023년10월_남_10~19세","2023년10월_남_20~29세","2023년10월_남_30~39세","2023년10월_남_40~49세","2023년10월_남_50~59세","2023년10월_남_60~69세","2023년10월_남_70~79세","2023년10월_남_80~89세","2023년10월_남_90~99세","2023년10월_남_100세 이상","2023년10월_여_총인구수","2023년10월_여_연령구간인구수","2023년10월_여_0~9세","2023년10월_여_10~19세","2023년10월_여_20~29세","2023년10월_여_30~39세","2023년10월_여_40~49세","2023년10월_여_50~59세","2023년10월_여_60~69세","2023년10월_여_70~79세","2023년10월_여_80~89세","2023년10월_여_90~99세","2023년10월_여_100세 이상"
"서울특별시 중구 소공동(1114052000)","2,177","2,177","145","133","225","446","516","316","232","105","50","9","0","1,028","1,028","82","44","87","199","256","167","118","52","20","3","0","1,149","1,149","63","89","138","247","260","149","114","53","30","6","0"
"서울특별시 중구 회현동(1114054000)","4,381","4,381","163","207","419","524","530","783","943","513","251","46","2","2,293","2,293","86","106","212","250","278","422","552","256","120","11","0","2,088","2,088","77","101","207","274","252","361","391","257","131","35","2"
"서울특별시 중구 명동(1114055000)","2,621","2,621","63","115","324","361","362","445","487","277","159","28","0","1,101","1,101","36","54","131","187","156","194","189","104","45","5","0","1,520","1,520","27","61","193","174","206","251","298","173","114","23","0"
"서울특별시 중구 필동(1114057000)","4,002","4,002","140","197","750","689","473","567","611","328","197","48","2","2,083","2,083","78","97","377","367","262","329","315","166","80","12","0","1,919","1,919","62","100","373","322","211","238","296","162","117","36","2"
"서울특별시 중구 장충동(1114058000)","4,584","4,584","130","276","1,283","661","500","589","531","365","216","33","0","2,406","2,406","71","140","723","380","263","305","266","167","81","10","0","2,178","2,178","59","136","560","281","237","284","265","198","135","23","0"
"서울특별시 중구 광희동(1114059000)","5,746","5,746","119","194","1,220","1,218","676","747","827","506","214","25","0","2,830","2,830","60","96","479","643","348","416","448","243","89","8","0","2,916","2,916","59","98","741","575","328","331","379","263","125","17","0"
"서울특별시 중구 을지로동(1114060500)","2,974","2,974","139","66","416","849","434","364","389","214","93","10","0","1,648","1,648","67","27","181","477","238","223","257","125","48","5","0","1,326","1,326","72","39","235","372","196","141","132","89","45","5","0"
"서울특별시 중구 신당동(1114061500)","7,439","7,439","235","240","1,289","1,319","987","1,212","1,122","662","321","51","1","3,654","3,654","101","110","551","665","530","662","586","315","122","12","0","3,785","3,785","134","130","738","654","457","550","536","347","199","39","1"
"서울특별시 중구 다산동(1114062500)","13,299","13,299","432","694","2,099","2,171","1,746","2,146","2,050","1,208","661","89","3","6,448","6,448","226","372","996","1,122","899","1,049","960","549","255","20","0","6,851","6,851","206","322","1,103","1,049","847","1,097","1,090","659","406","69","3"
"서울특별시 중구 약수동(1114063500)","16,175","16,175","866","870","1,791","2,289","2,228","2,635","2,704","1,666","956","167","3","7,458","7,458","420","439","860","1,108","1,075","1,206","1,244","727","338","41","0","8,717","8,717","446","431","931","1,181","1,153","1,429","1,460","939","618","126","3"
"서울특별시 중구 청구동(1114064500)","13,026","13,026","633","738","1,619","2,151","1,666","2,152","2,093","1,174","694","101","5","6,137","6,137","311","374","787","1,049","826","1,015","1,001","505","244","24","1","6,889","6,889","322","364","832","1,102","840","1,137","1,092","669","450","77","4"
"서울특별시 중구 신당제5동(1114065000)","10,113","10,113","467","514","1,488","1,764","1,396","1,761","1,441","821","402","57","2","4,890","4,890","231","236","663","884","724","913","713","349","156","20","1","5,223","5,223","236","278","825","880","672","848","728","472","246","37","1"
"서울특별시 중구 동화동(1114066500)","9,953","9,953","581","771","1,154","1,270","1,414","1,817","1,593","808","469","76","0","4,802","4,802","317","386","556","641","689","860","793","376","159","25","0","5,151","5,151","264","385","598","629","725","957","800","432","310","51","0"
"서울특별시 중구 황학동(1114067000)","12,680","12,680","645","461","2,174","2,962","1,810","1,696","1,580","899","388","64","1","5,991","5,991","333","221","889","1,465","921","825","779","404","140","14","0","6,689","6,689","312","240","1,285","1,497","889","871","801","495","248","50","1"
"서울특별시 중구 중림동(1114068000)","12,130","12,130","937","713","1,314","2,097","2,051","1,840","1,661","949","484","77","7","5,951","5,951","481","391","575","959","1,099","930","875","414","201","23","3","6,179","6,179","456","322","739","1,138","952","910","786","535","283","54","4"
"서울특별시 용산구 (1117000000)","215,397","215,397","11,296","13,785","30,560","37,728","31,667","34,598","29,618","15,722","8,955","1,411","57","103,398","103,398","5,750","6,993","14,084","18,765","15,653","16,933","14,434","6,914","3,434","426","12","111,999","111,999","5,546","6,792","16,476","18,963","16,014","17,665","15,184","8,808","5,521","985","45"
"서울특별시 용산구 후암동(1117051000)","16,022","16,022","714","1,101","2,186","2,772","2,332","2,605","2,276","1,258","674","94","10","7,744","7,744","365","587","1,076","1,448","1,127","1,277","1,061","555","227","19","2","8,278","8,278","349","514","1,110","1,324","1,205","1,328","1,215","703","447","75","8"
"서울특별시 용산구 용산2가동(1117052000)","8,937","8,937","259","440","1,339","1,620","1,238","1,256","1,338","875","494","77","1","4,346","4,346","131","226","677","844","668","592","614","385","190","19","0","4,591","4,591","128","214","662","776","570","664","724","490","304","58","1"
"서울특별시 용산구 남영동(1117053000)","6,838","6,838","133","223","786","996","857","1,458","1,444","626","280","31","4","4,162","4,162","67","128","353","531","520","1,001","1,016","393","137","15","1","2,676","2,676","66","95","433","465","337","457","428","233","143","16","3"
"서울특별시 용산구 청파동(1117055500)","18,997","18,997","500","995","4,107","3,353","2,343","2,987","2,500","1,374","749","85","4","8,792","8,792","244","481","1,542","1,788","1,187","1,485","1,195","559","291","18","2","10,205","10,205","256","514","2,565","1,565","1,156","1,502","1,305","815","458","67","2"
"서울특별시 용산구 원효로제1동(1117056000)","17,082","17,082","1,123","953","2,895","4,186","2,675","2,169","1,803","831","387","58","2","7,947","7,947","566","502","1,096","1,969","1,313","1,082","874","376","153","16","0","9,135","9,135","557","451","1,799","2,217","1,362","1,087","929","455","234","42","2"
"서울특별시 용산구 원효로제2동(1117057000)","13,638","13,638","739","991","1,923","2,293","1,983","2,211","1,884","986","541","83","4","6,401","6,401","353","426","851","1,125","993","1,082","901","453","192","25","0","7,237","7,237","386","565","1,072","1,168","990","1,129","983","533","349","58","4"
"서울특별시 용산구 효창동(1117058000)","10,719","10,719","778","675","1,620","1,991","1,606","1,721","1,241","646","380","60","1","5,088","5,088","383","361","757","959","785","805","606","267","148","17","0","5,631","5,631","395","314","863","1,032","821","916","635","379","232","43","1"
"서울특별시 용산구 용문동(1117059000)","11,439","11,439","632","634","1,646","1,949","1,572","1,840","1,625","978","500","61","2","5,468","5,468","302","337","789","982","785","900","740","420","200","12","1","5,971","5,971","330","297","857","967","787","940","885","558","300","49","1"
"서울특별시 용산구 한강로동(1117062500)","21,126","21,126","1,236","992","3,218","4,858","2,867","3,240","2,684","1,227","699","101","4","9,953","9,953","629","511","1,351","2,253","1,388","1,532","1,353","604","300","32","0","11,173","11,173","607","481","1,867","2,605","1,479","1,708","1,331","623","399","69","4"
"서울특별시 용산구 이촌제1동(1117063000)","24,989","24,989","2,194","2,651","2,545","2,946","4,167","4,389","3,061","1,637","1,157","234","8","11,739","11,739","1,152","1,345","1,257","1,304","1,891","2,071","1,512","689","430","86","2","13,250","13,250","1,042","1,306","1,288","1,642","2,276","2,318","1,549","948","727","148","6"
"서울특별시 용산구 이촌제2동(1117064000)","7,911","7,911","431","453","824","1,275","1,150","1,287","1,312","732","371","72","4","3,720","3,720","209","226","415","642","560","622","565","330","127","23","1","4,191","4,191","222","227","409","633","590","665","747","402","244","49","3"
"서울특별시 용산구 이태원제1동(1117065000)","6,029","6,029","217","235","889","1,125","790","897","984","524","294","73","1","3,014","3,014","109","111","491","644","410","418","480","206","118","27","0","3,015","3,015","108","124","398","481","380","479","504","318","176","46","1"
"서울특별시 용산구 이태원제2동(1117066000)","8,617","8,617","350","427","1,200","1,657","1,285","1,242","1,152","742","490","69","3","4,035","4,035","187","191","605","838","625","573","515","299","173","29","0","4,582","4,582","163","236","595","819","660","669","637","443","317","40","3"
"서울특별시 용산구 한남동(1117068500)","18,508","18,508","1,031","1,059","2,132","3,349","3,004","2,961","2,637","1,464","754","116","1","8,956","8,956","543","553","1,077","1,630","1,515","1,402","1,257","632","321","26","0","9,552","9,552","488","506","1,055","1,719","1,489","1,559","1,380","832","433","90","1"
"서울특별시 용산구 서빙고동(1117069000)","12,460","12,460","677","1,365","1,573","1,441","2,171","2,160","1,616","750","593","109","5","5,997","5,997","355","663","800","704","1,052","1,026","824","325","209","36","3","6,463","6,463","322","702","773","737","1,119","1,134","792","425","384","73","2"
"서울특별시 용산구 보광동(1117070000)","12,085","12,085","282","591","1,677","1,917","1,627","2,175","2,061","1,072","592","88","3","6,036","6,036","155","345","947","1,104","834","1,065","921","421","218","26","0","6,049","6,049","127","246","730","813","793","1,110","1,140","651","374","62","3"
"서울특별시 성동구 (1120000000)","278,035","278,035","17,117","17,968","41,315","45,592","41,134","44,355","38,693","20,293","10,289","1,235","44","134,979","134,979","8,785","8,980","20,059","22,351","20,634","21,842","18,934","9,064","3,984","332","14","143,056","143,056","8,332","8,988","21,256","23,241","20,500","22,513","19,759","11,229","6,305","903","30"
"서울특별시 성동구 왕십리제2동(1120052000)","16,151","16,151","1,083","1,054","2,209","2,803","2,369","2,618","2,242","1,164","529","79","1","7,776","7,776","540","548","1,034","1,363","1,186","1,279","1,092","498","212","24","0","8,375","8,375","543","506","1,175","1,440","1,183","1,339","1,150","666","317","55","1"
"서울특별시 성동구 왕십리도선동(1120053500)","26,309","26,309","1,990","1,625","4,088","4,441","3,921","4,286","3,277","1,667","886","125","3","12,335","12,335","1,029","838","1,767","1,988","1,957","2,014","1,632","724","356","30","0","13,974","13,974","961","787","2,321","2,453","1,964","2,272","1,645","943","530","95","3"
"서울특별시 성동구 마장동(1120054000)","21,657","21,657","984","1,442","4,101","3,169","2,647","3,417","3,187","1,706","895","108","1","10,668","10,668","493","721","2,064","1,652","1,345","1,661","1,567","799","330","36","0","10,989","10,989","491","721","2,037","1,517","1,302","1,756","1,620","907","565","72","1"
"서울특별시 성동구 사근동(1120055000)","12,008","12,008","336","704","4,946","1,599","1,049","1,278","985","680","406","25","0","6,305","6,305","178","327","2,755","918","551","621","490","286","171","8","0","5,703","5,703","158","377","2,191","681","498","657","495","394","235","17","0"
"서울특별시 성동구 행당제1동(1120056000)","13,702","13,702","859","981","2,173","2,228","2,046","2,182","1,744","927","492","61","9","6,565","6,565","453","453","1,002","1,110","1,001","1,041","859","434","194","15","3","7,137","7,137","406","528","1,171","1,118","1,045","1,141","885","493","298","46","6"
"서울특별시 성동구 행당제2동(1120057000)","22,910","22,910","1,586","1,866","2,611","3,419","3,614","3,963","3,073","1,785","887","102","4","10,693","10,693","791","836","1,215","1,620","1,744","1,913","1,448","772","325","29","0","12,217","12,217","795","1,030","1,396","1,799","1,870","2,050","1,625","1,013","562","73","4"
"서울특별시 성동구 응봉동(1120058000)","14,990","14,990","980","1,507","1,670","2,041","2,634","2,491","1,874","1,105","621","66","1","7,113","7,113","515","768","778","986","1,237","1,224","867","476","245","17","0","7,877","7,877","465","739","892","1,055","1,397","1,267","1,007","629","376","49","1"
"서울특별시 성동구 금호1가동(1120059000)","14,821","14,821","1,101","1,047","1,538","2,320","2,486","2,327","2,185","1,165","580","71","1","7,069","7,069","582","535","746","1,087","1,273","1,118","993","513","206","16","0","7,752","7,752","519","512","792","1,233","1,213","1,209","1,192","652","374","55","1"
