"행정구역","2023년10월_계_총인구수","2023년10월_계_연령구간인구수","2023년10월_계_0~9세","2023년10월_계_10~19세","2023년10월_계_20~29세","2023년10월_계_30~39세","2023년10월_계_40~49세","2023년10월_계_50~59세","2023년10월_계_60~69세","2023년10월_계_70~79세","2023년10월_계_80~89세","2023년10월_계_90~99세","2023년10월_계_100세 이상","2023년10월_남_총인구수","2023년10월_남_연령구간인구수","2023년10월_남_0~9세","2023년10월_남_10~19세","2023년10월_남_20~29세","2023년10월_남_30~39세","2023년10월_남_40~49세","2023년10월_남_50~59세","2023년10월_남_60~69세","2023년10월_남_70~79세","2023년10월_남_80~89세","2023년10월_남_90~99세","2023년10월_남_100세 이상","2023년10월_여_총인구수","2023년10월_여_연령구간인구수","2023년10월_여_0~9세","2023년10월_여_10~19세","2023년10월_여_20~29세","2023년10월_여_30~39세","2023년10월_여_40~49세","2023년10월_여_50~59세","2023년10월_여_60~69세","2023년10월_여_70~79세","2023년10월_여_80~89세","2023년10월_여_90~99세","2023년10월_여_100세 이상"
"서울특별시 강남구 신사동(1168051000)","15,429","15,429","831","1,529","1,908","2,045","2,490","2,547","1,810","1,426","734","107","2","7,207","7,207","435","770","885","920","1,106","1,244","831","626","351","38","1","8,222","8,222","396","759","1,023","1,125","1,384","1,303","979","800","383","69","1"
"서울특별시 강남구 논현1동(1168052100)","21,144","21,144","553","814","3,933","5,276","3,641","2,756","2,150","1,364","563","90","4","9,953","9,953","273","401","1,751","2,582","1,702","1,373","983","597","257","33","1","11,191","11,191","280","413","2,182","2,694","1,939","1,383","1,167","767","306","57","3"
"서울특별시 강남구 논현2동(1168053100)","20,430","20,430","875","1,213","3,186","4,100","3,623","3,018","2,219","1,489","614","91","2","9,476","9,476","446","613","1,406","1,879","1,711","1,430","1,014","669","284","24","0","10,954","10,954","429","600","1,780","2,221","1,912","1,588","1,205","820","330","67","2"
"서울특별시 강남구 압구정동(1168054500)","25,604","25,604","1,800","2,703","2,770","2,766","4,293","4,257","3,163","2,506","1,153","181","12","11,837","11,837","863","1,311","1,303","1,186","1,937","2,064","1,432","1,129","538","72","2","13,767","13,767","937","1,392","1,467","1,580","2,356","2,193","1,731","1,377","615","109","10"
"서울특별시 강남구 청담동(1168056500)","24,750","24,750","1,674","2,236","3,183","3,722","4,439","3,976","2,979","1,740","693","103","5","11,566","11,566","937","1,178","1,457","1,598","1,999","1,866","1,383","802","319","25","2","13,184","13,184","737","1,058","1,726","2,124","2,440","2,110","1,596","938","374","78","3"
"서울특별시 강남구 삼성1동(1168058000)","12,299","12,299","670","1,140","1,586","1,739","1,950","2,065","1,679","1,007","407","56","0","6,016","6,016","336","635","848","834","901","992","779","482","192","17","0","6,283","6,283","334","505","738","905","1,049","1,073","900","525","215","39","0"
"서울특별시 강남구 삼성2동(1168059000)","30,669","30,669","2,020","3,545","3,849","4,655","6,208","4,984","2,627","1,894","788","94","5","14,730","14,730","1,065","1,961","1,815","2,091","2,775","2,541","1,257","816","384","25","0","15,939","15,939","955","1,584","2,034","2,564","3,433","2,443","1,370","1,078","404","69","5"
"서울특별시 강남구 대치1동(1168060000)","24,010","24,010","1,516","5,371","2,301","1,336","5,404","4,144","2,122","1,305","438","71","2","12,029","12,029","803","3,001","1,188","560","2,286","2,282","1,015","642","230","22","0","11,981","11,981","713","2,370","1,113","776","3,118","1,862","1,107","663","208","49","2"
"서울특별시 강남구 대치2동(1168061000)","38,326","38,326","2,213","6,708","4,124","3,350","7,318","6,681","4,508","2,583","718","119","4","19,440","19,440","1,190","4,038","2,221","1,545","3,135","3,458","2,188","1,270","367","28","0","18,886","18,886","1,023","2,670","1,903","1,805","4,183","3,223","2,320","1,313","351","91","4"
"서울특별시 강남구 대치4동(1168063000)","18,906","18,906","579","2,342","3,042","3,101","3,462","3,356","1,600","985","396","42","1","9,032","9,032","293","1,297","1,493","1,476","1,476","1,646","731","411","198","11","0","9,874","9,874","286","1,045","1,549","1,625","1,986","1,710","869","574","198","31","1"
"서울특별시 강남구 역삼1동(1168064000)","34,312","34,312","822","1,387","6,822","9,610","6,051","4,184","2,998","1,640","719","76","3","16,749","16,749","407","700","2,907","4,838","3,074","2,236","1,472","738","364","13","0","17,563","17,563","415","687","3,915","4,772","2,977","1,948","1,526","902","355","63","3"
"서울특별시 강남구 역삼2동(1168065000)","36,573","36,573","2,234","5,827","4,408","4,527","8,456","5,870","2,588","1,851","732","77","3","17,038","17,038","1,066","2,716","1,866","2,057","3,736","3,207","1,228","785","354","23","0","19,535","19,535","1,168","3,111","2,542","2,470","4,720","2,663","1,360","1,066","378","54","3"
"서울특별시 강남구 도곡1동(1168065500)","20,626","20,626","1,433","2,412","2,489","2,781","3,673","3,318","2,571","1,361","511","76","1","9,778","9,778","716","1,093","1,194","1,276","1,706","1,658","1,215","668","223","29","0","10,848","10,848","717","1,319","1,295","1,505","1,967","1,660","1,356","693","288","47","1"
"서울특별시 강남구 도곡2동(1168065600)","32,688","32,688","2,397","4,815","3,524","3,028","6,135","5,568","3,691","2,425","940","160","5","15,152","15,152","1,211","2,159","1,572","1,286","2,684","2,768","1,765","1,178","480","48","1","17,536","17,536","1,186","2,656","1,952","1,742","3,451","2,800","1,926","1,247","460","112","4"
"서울특별시 강남구 개포1동(1168066000)","6,889","6,889","426","736","672","657","1,090","1,052","1,160","768","281","45","2","3,321","3,321","215","349","329","297","511","526","562","386","132","13","1","3,568","3,568","211","387","343","360","579","526","598","382","149","32","1"
"서울특별시 강남구 개포2동(1168067000)","41,266","41,266","3,612","5,106","4,679","5,955","7,438","6,643","4,709","2,401","612","108","3","19,949","19,949","1,881","2,546","2,303","2,744","3,413","3,284","2,261","1,195","300","20","2","21,317","21,317","1,731","2,560","2,376","3,211","4,025","3,359","2,448","1,206","312","88","1"
"서울특별시 강남구 개포3동(1168067500)","16,920","16,920","1,043","1,615","1,642","2,399","2,935","2,440","2,488","1,702","571","82","3","8,214","8,214","559","1,054","875","1,176","1,385","1,194","1,059","700","192","19","1","8,706","8,706","484","561","767","1,223","1,550","1,246","1,429","1,002","379","63","2"
"서울특별시 강남구 개포4동(1168069000)","23,406","23,406","1,578","2,177","2,919","3,653","3,802","3,946","3,175","1,548","528","77","3","11,268","11,268","822","1,037","1,455","1,760","1,814","1,893","1,499","734","233","21","0","12,138","12,138","756","1,140","1,464","1,893","1,988","2,053","1,676","814","295","56","3"
"서울특별시 강남구 세곡동(1168070000)","45,654","45,654","3,699","5,088","5,364","7,009","8,105","6,245","5,432","3,014","1,424","261","13","21,384","21,384","1,867","2,551","2,350","3,245","3,898","3,046","2,416","1,417","529","61","4","24,270","24,270","1,832","2,537","3,014","3,764","4,207","3,199","3,016","1,597","895","200","9"
"서울특별시 강남구 일원본동(1168072000)","22,886","22,886","1,758","3,291","2,265","2,550","4,320","3,673","3,025","1,424","444","129","7","11,292","11,292","979","1,938","1,182","1,184","1,933","1,781","1,377","709","179","29","1","11,594","11,594","779","1,353","1,083","1,366","2,387","1,892","1,648","715","265","100","6"
"서울특별시 강남구 일원1동(1168073000)","14,644","14,644","585","1,004","1,977","2,138","2,034","2,142","2,536","1,531","591","102","4","7,096","7,096","297","569","979","1,084","1,068","1,032","1,124","716","205","21","1","7,548","7,548","288","435","998","1,054","966","1,110","1,412","815","386","81","3"
"서울특별시 강남구 수서동(1168075000)","14,134","14,134","543","498","1,141","1,911","1,590","1,882","3,255","2,292","855","159","8","6,370","6,370","266","242","587","961","806","860","1,400","922","289","36","1","7,764","7,764","277","256","554","950","784","1,022","1,855","1,370","566","123","7"
"서울특별시 송파구 (1171000000)","655,300","655,300","43,689","57,592","85,086","105,116","106,791","100,756","89,991","46,335","17,139","2,712","93","314,985","314,985","22,606","29,382","40,028","50,244","51,708","48,559","42,174","22,341","7,282","645","16","340,315","340,315","21,083","28,210","45,058","54,872","55,083","52,197","47,817","23,994","9,857","2,067","77"
"서울특별시 송파구 풍납1동(1171051000)","11,855","11,855","556","690","1,287","1,652","1,609","1,984","2,326","1,181","516","52","2","5,815","5,815","310","376","665","867","809","964","1,054","550","203","16","1","6,040","6,040","246","314","622","785","800","1,020","1,272","631","313","36","1"
"서울특별시 송파구 풍납2동(1171052000)","23,796","23,796","1,580","1,877","3,389","3,723","3,783","3,567","3,313","1,789","669","103","3","11,219","11,219","806","947","1,438","1,758","1,847","1,720","1,550","851","288","13","1","12,577","12,577","774","930","1,951","1,965","1,936","1,847","1,763","938","381","90","2"
"서울특별시 송파구 거여1동(1171053100)","12,051","12,051","487","841","1,632","1,636","1,603","2,175","2,026","1,121","463","64","3","6,032","6,032","267","430","836","863","809","1,101","986","531","194","13","2","6,019","6,019","220","411","796","773","794","1,074","1,040","590","269","51","1"
"서울특별시 송파구 거여2동(1171053200)","23,616","23,616","1,794","1,760","2,524","3,472","3,681","3,955","3,563","1,958","787","118","4","11,524","11,524","926","914","1,281","1,742","1,842","1,918","1,653","915","309","24","0","12,092","12,092","868","846","1,243","1,730","1,839","2,037","1,910","1,043","478","94","4"
"서울특별시 송파구 마천1동(1171054000)","18,130","18,130","691","1,382","2,026","2,004","2,395","3,382","3,376","1,900","865","108","1","9,286","9,286","362","728","1,051","1,118","1,258","1,781","1,721","901","340","26","0","8,844","8,844","329","654","975","886","1,137","1,601","1,655","999","525","82","1"
"서울특별시 송파구 마천2동(1171055000)","17,682","17,682","593","1,072","2,059","2,019","2,325","3,244","3,590","1,837","832","107","4","9,048","9,048","309","549","1,156","1,131","1,256","1,638","1,805","847","335","22","0","8,634","8,634","284","523","903","888","1,069","1,606","1,785","990","497","85","4"
"서울특별시 송파구 방이1동(1171056100)","15,159","15,159","873","1,480","2,097","2,132","2,381","2,596","2,124","1,013","389","69","5","7,317","7,317","423","742","1,058","1,080","1,111","1,204","999","511","169","20","0","7,842","7,842","450","738","1,039","1,052","1,270","1,392","1,125","502","220","49","5"
"서울특별시 송파구 방이2동(1171056200)","26,179","26,179","924","1,107","5,141","6,447","3,643","3,383","3,197","1,655","603","77","2","11,958","11,958","501","603","1,979","2,973","1,832","1,553","1,440","784","270","23","0","14,221","14,221","423","504","3,162","3,474","1,811","1,830","1,757","871","333","54","2"
"서울특별시 송파구 오륜동(1171056600)","17,847","17,847","1,088","2,532","1,936","1,613","3,046","3,039","2,657","1,447","393","94","2","8,744","8,744","590","1,368","1,041","705","1,343","1,481","1,237","767","188","23","1","9,103","9,103","498","1,164","895","908","1,703","1,558","1,420","680","205","71","1"
"서울특별시 송파구 오금동(1171057000)","37,528","37,528","2,317","2,948","4,705","5,146","5,353","6,550","6,116","2,989","1,152","242","10","18,158","18,158","1,183","1,586","2,423","2,563","2,564","3,007","2,884","1,459","443","44","2","19,370","19,370","1,134","1,362","2,282","2,583","2,789","3,543","3,232","1,530","709","198","8"
"서울특별시 송파구 송파1동(1171058000)","23,454","23,454","964","1,156","4,063","5,374","3,366","3,166","3,058","1,606","620","80","1","10,880","10,880","492","543","1,782","2,659","1,572","1,386","1,395","730","302","19","0","12,574","12,574","472","613","2,281","2,715","1,794","1,780","1,663","876","318","61","1"
"서울특별시 송파구 송파2동(1171059000)","18,542","18,542","1,250","1,738","2,346","2,698","2,917","2,922","2,793","1,364","433","80","1","8,944","8,944","668","848","1,110","1,284","1,432","1,389","1,302","709","185","16","1","9,598","9,598","582","890","1,236","1,414","1,485","1,533","1,491","655","248","64","0"
"서울특별시 송파구 석촌동(1171060000)","30,906","30,906","1,247","1,628","5,076","6,775","4,659","4,390","4,109","2,107","809","104","2","14,652","14,652","630","825","2,237","3,281","2,300","2,108","1,909","965","367","30","0","16,254","16,254","617","803","2,839","3,494","2,359","2,282","2,200","1,142","442","74","2"
"서울특별시 송파구 삼전동(1171061000)","29,127","29,127","1,088","1,771","4,785","6,320","4,667","4,127","3,701","1,876","691","96","5","13,559","13,559","549","926","2,101","3,019","2,246","1,950","1,630","860","263","15","0","15,568","15,568","539","845","2,684","3,301","2,421","2,177","2,071","1,016","428","81","5"
"서울특별시 송파구 가락본동(1171062000)","25,264","25,264","1,374","1,603","3,561","4,476","3,546","4,213","3,991","1,724","672","102","2","12,518","12,518","707","810","1,776","2,279","1,802","1,996","1,978","844","291","35","0","12,746","12,746","667","793","1,785","2,197","1,744","2,217","2,013","880","381","67","2"
"서울특별시 송파구 가락1동(1171063100)","27,499","27,499","3,013","2,697","2,610","4,759","4,931","3,610","3,612","1,773","437","56","1","13,301","13,301","1,566","1,365","1,276","2,154","2,440","1,679","1,697","912","199","13","0","14,198","14,198","1,447","1,332","1,334","2,605","2,491","1,931","1,915","861","238","43","1"
"서울특별시 송파구 가락2동(1171063200)","31,239","31,239","2,036","3,239","4,051","4,575","5,109","5,092","4,376","1,906","726","123","6","15,245","15,245","1,061","1,697","1,996","2,248","2,454","2,464","2,033","952","306","33","1","15,994","15,994","975","1,542","2,055","2,327","2,655","2,628","2,343","954","420","90","5"
"서울특별시 송파구 문정1동(1171064100)","19,567","19,567","1,049","1,398","2,835","3,314","2,749","3,102","3,176","1,411","456","74","3","9,672","9,672","550","728","1,412","1,693","1,398","1,437","1,518","721","197","18","0","9,895","9,895","499","670","1,423","1,621","1,351","1,665","1,658","690","259","56","3"
"서울특별시 송파구 문정2동(1171064200)","28,777","28,777","1,438","1,456","4,649","7,365","4,449","3,450","3,197","1,862","764","143","4","13,175","13,175","714","716","1,786","3,300","2,145","1,655","1,491","961","360","45","2","15,602","15,602","724","740","2,863","4,065","2,304","1,795","1,706","901","404","98","2"
"서울특별시 송파구 장지동(1171064600)","28,557","28,557","1,977","2,379","3,544","4,410","4,414","4,641","4,222","2,044","770","150","6","13,754","13,754","985","1,232","1,800","2,199","2,181","2,145","1,952","948","288","24","0","14,803","14,803","992","1,147","1,744","2,211","2,233","2,496","2,270","1,096","482","126","6"
"서울특별시 송파구 위례동(1171064700)","44,841","44,841","6,466","6,164","4,240","6,842","9,323","5,829","3,773","1,540","540","119","5","21,852","21,852","3,365","3,133","2,073","3,111","4,591","2,897","1,762","709","195","16","0","22,989","22,989","3,101","3,031","2,167","3,731","4,732","2,932","2,011","831","345","103","5"
"서울특별시 송파구 잠실본동(1171065000)","27,772","27,772","968","1,513","4,946","6,210","4,212","3,957","3,538","1,732","618","73","5","13,233","13,233","509","770","2,185","3,076","2,068","1,924","1,620","807","250","22","2","14,539","14,539","459","743","2,761","3,134","2,144","2,033","1,918","925","368","51","3"
"서울특별시 송파구 잠실2동(1171067000)","34,894","34,894","3,272","5,849","3,336","3,232","8,085","5,612","2,938","1,851","642","75","2","16,692","16,692","1,737","2,917","1,532","1,308","3,689","2,991","1,372","850","272","24","0","18,202","18,202","1,535","2,932","1,804","1,924","4,396","2,621","1,566","1,001","370","51","2"
"서울특별시 송파구 잠실3동(1171068000)","33,882","33,882","2,583","4,035","3,518","3,584","6,075","5,435","4,710","2,949","847","144","2","15,988","15,988","1,299","1,996","1,714","1,525","2,778","2,673","2,128","1,438","399","38","0","17,894","17,894","1,284","2,039","1,804","2,059","3,297","2,762","2,582","1,511","448","106","2"
"서울특별시 송파구 잠실4동(1171069000)","21,232","21,232","2,287","2,651","1,859","2,445","4,423","3,119","2,521","1,384","471","70","2","10,237","10,237","1,178","1,397","927","1,020","2,105","1,534","1,180","675","209","12","0","10,995","10,995","1,109","1,254","932","1,425","2,318","1,585","1,341","709","262","58","2"
"서울특별시 송파구 잠실6동(1171071000)","16,466","16,466","1,240","1,722","1,759","1,951","2,797","2,579","2,496","1,292","525","102","3","7,794","7,794","632","869","849","875","1,287","1,199","1,173","635","236","38","1","8,672","8,672","608","853","910","1,076","1,510","1,380","1,323","657","289","64","2"
"서울특별시 송파구 잠실7동(1171072000)","9,438","9,438","534","904","1,112","942","1,250","1,637","1,492","1,024","449","87","7","4,388","4,388","287","367","544","413","549","765","705","509","224","23","2","5,050","5,050","247","537","568","529","701","872","787","515","225","64","5"
"서울특별시 강동구 (1174000000)","458,292","458,292","31,017","38,796","56,391","68,591","74,381","70,299","68,484","35,308","13,046","1,900","79","223,930","223,930","16,053","20,485","27,195","33,870","37,086","34,487","32,088","16,828","5,398","425","15","234,362","234,362","14,964","18,311","29,196","34,721","37,295","35,812","36,396","18,480","7,648","1,475","64"
"서울특별시 강동구 강일동(1174051500)","32,605","32,605","2,807","3,542","3,343","4,135","5,380","4,749","4,917","2,529","1,003","192","8","15,571","15,571","1,460","1,827","1,693","1,927","2,618","2,281","2,133","1,193","388","50","1","17,034","17,034","1,347","1,715","1,650","2,208","2,762","2,468","2,784","1,336","615","142","7"
"서울특별시 강동구 상일제1동(1174052500)","39,286","39,286","4,567","4,745","3,458","5,141","8,011","5,460","5,066","2,149","593","92","4","19,303","19,303","2,334","2,426","1,728","2,336","3,983","2,684","2,401","1,131","263","17","0","19,983","19,983","2,233","2,319","1,730","2,805","4,028","2,776","2,665","1,018","330","75","4"
"서울특별시 강동구 상일제2동(1174052600)","11,790","11,790","1,023","1,351","1,550","1,667","1,779","1,763","1,349","860","375","70","3","5,478","5,478","510","681","701","782","842","841","586","374","143","16","2","6,312","6,312","513","670","849","885","937","922","763","486","232","54","1"
"서울특별시 강동구 명일제1동(1174053000)","25,310","25,310","2,050","2,336","2,728","3,778","4,158","3,893","3,762","1,886","619","96","4","12,362","12,362","1,051","1,265","1,409","1,850","2,008","1,881","1,710","915","256","16","1","12,948","12,948","999","1,071","1,319","1,928","2,150","2,012","2,052","971","363","80","3"
"서울특별시 강동구 명일제2동(1174054000)","17,184","17,184","945","2,394","2,148","1,842","2,975","2,683","2,509","1,258","348","78","4","8,375","8,375","484","1,327","1,019","885","1,310","1,347","1,165","681","142","14","1","8,809","8,809","461","1,067","1,129","957","1,665","1,336","1,344","577","206","64","3"
"서울특별시 강동구 고덕제1동(1174055000)","23,979","23,979","2,217","3,876","1,972","2,469","5,307","3,398","2,881","1,292","458","105","4","12,204","12,204","1,223","2,178","1,067","1,148","2,565","1,795","1,371","644","189","24","0","11,775","11,775","994","1,698","905","1,321","2,742","1,603","1,510","648","269","81","4"
"서울특별시 강동구 고덕제2동(1174056000)","22,801","22,801","2,405","2,358","2,070","3,445","4,411","3,203","3,002","1,393","452","61","1","11,453","11,453","1,248","1,264","1,054","1,639","2,261","1,594","1,476","700","200","16","1","11,348","11,348","1,157","1,094","1,016","1,806","2,150","1,609","1,526","693","252","45","0"
"서울특별시 강동구 암사제1동(1174057000)","33,804","33,804","1,728","2,350","4,322","4,892","5,162","5,787","5,369","2,872","1,170","150","2","16,717","16,717","858","1,190","2,249","2,545","2,681","2,824","2,582","1,278","481","29","0","17,087","17,087","870","1,160","2,073","2,347","2,481","2,963","2,787","1,594","689","121","2"
"서울특별시 강동구 암사제2동(1174058000)","14,878","14,878","1,164","991","1,753","2,649","2,329","2,247","2,049","1,185","445","65","1","7,169","7,169","595","507","829","1,281","1,180","1,075","945","552","193","12","0","7,709","7,709","569","484","924","1,368","1,149","1,172","1,104","633","252","53","1"
"서울특별시 강동구 암사제3동(1174059000)","17,283","17,283","1,550","1,925","1,785","2,068","3,163","2,613","2,394","1,266","447","65","7","8,471","8,471","801","1,024","900","951","1,537","1,289","1,105","638","209","14","3","8,812","8,812","749","901","885","1,117","1,626","1,324","1,289","628","238","51","4"
"서울특별시 강동구 천호제1동(1174060000)","26,075","26,075","1,169","1,528","3,293","3,878","3,707","4,332","4,611","2,472","960","121","4","12,828","12,828","588","774","1,648","2,065","1,921","2,119","2,192","1,105","398","18","0","13,247","13,247","581","754","1,645","1,813","1,786","2,213","2,419","1,367","562","103","4"
"서울특별시 강동구 천호제2동(1174061000)","32,929","32,929","1,491","1,651","4,624","6,076","4,764","5,071","5,207","2,806","1,110","124","5","16,074","16,074","756","846","2,126","3,086","2,443","2,502","2,530","1,294","454","37","0","16,855","16,855","735","805","2,498","2,990","2,321","2,569","2,677","1,512","656","87","5"
"서울특별시 강동구 천호제3동(1174062000)","26,143","26,143","1,143","1,079","4,291","5,032","3,515","3,876","4,104","2,101","879","114","9","12,592","12,592","594","552","1,808","2,444","1,813","1,981","2,021","1,001","352","26","0","13,551","13,551","549","527","2,483","2,588","1,702","1,895","2,083","1,100","527","88","9"
"서울특별시 강동구 성내제1동(1174064000)","19,466","19,466","1,352","1,595","2,486","2,999","3,249","2,943","2,724","1,495","551","69","3","9,323","9,323","713","809","1,193","1,428","1,586","1,387","1,253","693","241","19","1","10,143","10,143","639","786","1,293","1,571","1,663","1,556","1,471","802","310","50","2"
"서울특별시 강동구 성내제2동(1174065000)","23,314","23,314","858","1,047","3,842","4,323","3,088","3,434","3,721","2,067","835","97","2","11,378","11,378","474","531","1,624","2,243","1,622","1,741","1,796","959","356","32","0","11,936","11,936","384","516","2,218","2,080","1,466","1,693","1,925","1,108","479","65","2"
"서울특별시 강동구 성내제3동(1174066000)","22,467","22,467","998","1,510","3,278","3,321","3,363","3,814","3,496","1,898","713","70","6","10,960","10,960","529","876","1,666","1,709","1,621","1,823","1,543","891","287","13","2","11,507","11,507","469","634","1,612","1,612","1,742","1,991","1,953","1,007","426","57","4"
"서울특별시 강동구 길동(1174068500)","44,662","44,662","2,044","2,639","6,322","7,168","6,514","7,114","7,399","3,867","1,376","210","9","21,755","21,755","1,071","1,386","2,943","3,674","3,337","3,449","3,446","1,843","556","47","3","22,907","22,907","973","1,253","3,379","3,494","3,177","3,665","3,953","2,024","820","163","6"
"서울특별시 강동구 둔촌제1동(1174069000)","52","52","1","4","6","9","10","9","9","3","1","0","0","29","29","0","2","4","5","4","6","6","1","1","0","0","23","23","1","2","2","4","6","3","3","2","0","0","0"
"서울특별시 강동구 둔촌제2동(1174070000)","24,264","24,264","1,505","1,875","3,120","3,699","3,496","3,910","3,915","1,909","711","121","3","11,888","11,888","764","1,020","1,534","1,872","1,754","1,868","1,827","935","289","25","0","12,376","12,376","741","855","1,586","1,827","1,742","2,042","2,088","974","422","96","3"
"부산광역시  (2600000000)","3,298,213","3,298,213","196,404","263,874","380,538","392,167","486,946","539,408","562,364","317,979","141,091","17,005","437","1,608,156","1,608,156","100,733","135,390","195,524","202,048","245,866","263,409","265,005","143,330","52,989","3,794","68","1,690,057","1,690,057","95,671","128,484","185,014","190,119","241,080","275,999","297,359","174,649","88,102","13,211","369"
"부산광역시 중구 (2611000000)","38,831","38,831","901","1,694","5,459","4,287","4,453","6,354","7,821","5,096","2,423","325","18","18,810","18,810","495","832","2,588","2,288","2,400","3,311","3,734","2,199","886","76","1","20,021","20,021","406","862","2,871","1,999","2,053","3,043","4,087","2,897","1,537","249","17"
"부산광역시 중구 중앙동(2611051000)","3,071","3,071","46","55","873","749","331","344","357","212","85","19","0","1,403","1,403","25","25","305","351","179","191","190","99","35","3","0","1,668","1,668","21","30","568","398","152","153","167","113","50","16","0"
"부산광역시 중구 동광동(2611052000)","2,493","2,493","57","94","225","224","268","412","573","408","208","21","3","1,264","1,264","29","36","123","140","152","218","290","192","81","3","0","1,229","1,229","28","58","102","84","116","194","283","216","127","18","3"
"부산광역시 중구 대청동(2611053000)","5,850","5,850","130","273","844","585","697","956","1,200","739","361","62","3","2,767","2,767","75","134","407","313","358","479","557","293","141","10","0","3,083","3,083","55","139","437","272","339","477","643","446","220","52","3"
"부산광역시 중구 보수동(2611054500)","10,304","10,304","281","494","1,554","1,056","1,184","1,689","2,054","1,274","632","79","7","4,922","4,922","146","235","733","548","643","857","966","541","232","21","0","5,382","5,382","135","259","821","508","541","832","1,088","733","400","58","7"
"부산광역시 중구 부평동(2611056000)","4,233","4,233","70","167","462","407","470","702","977","657","283","37","1","2,004","2,004","40","92","221","229","250","367","425","286","90","4","0","2,229","2,229","30","75","241","178","220","335","552","371","193","33","1"
"부산광역시 중구 광복동(2611057000)","920","920","29","36","75","70","109","162","229","134","64","11","1","466","466","15","18","43","34","57","96","112","58","27","6","0","454","454","14","18","32","36","52","66","117","76","37","5","1"
"부산광역시 중구 남포동(2611058000)","817","817","8","26","38","59","76","161","249","143","52","5","0","473","473","8","11","24","32","49","104","150","76","16","3","0","344","344","0","15","14","27","27","57","99","67","36","2","0"
"부산광역시 중구 영주제1동(2611059000)","4,486","4,486","119","183","758","606","558","719","744","524","238","36","1","2,295","2,295","60","100","389","345","322","382","370","237","79","11","0","2,191","2,191","59","83","369","261","236","337","374","287","159","25","1"
"부산광역시 중구 영주제2동(2611060000)","6,657","6,657","161","366","630","531","760","1,209","1,438","1,005","500","55","2","3,216","3,216","97","181","343","296","390","617","674","417","185","15","1","3,441","3,441","64","185","287","235","370","592","764","588","315","40","1"
"부산광역시 서구 (2614000000)","104,268","104,268","4,941","7,071","12,180","10,406","13,636","16,782","19,477","12,590","6,355","815","15","50,129","50,129","2,587","3,610","5,855","5,315","6,945","8,545","9,235","5,539","2,327","166","5","54,139","54,139","2,354","3,461","6,325","5,091","6,691","8,237","10,242","7,051","4,028","649","10"
"부산광역시 서구 동대신제1동(2614051000)","5,354","5,354","327","342","576","618","716","862","936","604","327","45","1","2,594","2,594","163","185","272","327","380","440","446","261","112","7","1","2,760","2,760","164","157","304","291","336","422","490","343","215","38","0"
"부산광역시 서구 동대신제2동(2614052000)","6,771","6,771","203","421","632","506","810","1,185","1,391","998","552","73","0","3,290","3,290","105","201","340","272","430","605","646","451","222","18","0","3,481","3,481","98","220","292","234","380","580","745","547","330","55","0"
"부산광역시 서구 동대신제3동(2614053000)","7,393","7,393","345","498","1,143","765","949","1,088","1,266","831","441","63","4","3,460","3,460","195","244","512","399","467","548","573","335","172","14","1","3,933","3,933","150","254","631","366","482","540","693","496","269","49","3"
"부산광역시 서구 서대신제1동(2614054000)","15,012","15,012","1,193","1,270","1,683","1,921","2,417","2,237","2,081","1,398","712","100","0","7,097","7,097","631","658","801","919","1,165","1,071","969","588","269","26","0","7,915","7,915","562","612","882","1,002","1,252","1,166","1,112","810","443","74","0"
"부산광역시 서구 서대신제3동(2614056000)","7,540","7,540","436","764","795","747","1,118","1,275","1,248","724","372","60","1","3,431","3,431","213","370","369","359","509","592","557","317","131","14","0","4,109","4,109","223","394","426","388","609","683","691","407","241","46","1"
"부산광역시 서구 서대신제4동(2614057000)","7,257","7,257","469","756","739","700","1,100","1,201","1,213","689","344","44","2","3,512","3,512","258","411","385","332","512","581","573","317","135","7","1","3,745","3,745","211","345","354","368","588","620","640","372","209","37","1"
"부산광역시 서구 부민동(2614059000)","7,386","7,386","325","557","1,523","834","916","1,043","1,154","653","340","39","2","3,499","3,499","169","288","663","408","467","530","540","305","123","6","0","3,887","3,887","156","269","860","426","449","513","614","348","217","33","2"
"부산광역시 서구 아미동(2614061500)","6,170","6,170","85","217","709","497","605","977","1,401","1,032","567","78","2","3,081","3,081","40","123","342","278","347","568","720","465","182","15","1","3,089","3,089","45","94","367","219","258","409","681","567","385","63","1"
"부산광역시 서구 초장동(2614063000)","3,936","3,936","87","141","324","272","447","659","921","644","400","41","0","1,978","1,978","41","68","176","162","253","386","459","296","129","8","0","1,958","1,958","46","73","148","110","194","273","462","348","271","33","0"
"부산광역시 서구 충무동(2614064000)","9,621","9,621","381","463","1,299","1,037","1,178","1,577","1,884","1,190","557","54","1","4,537","4,537","196","229","551","526","597","825","877","512","210","13","1","5,084","5,084","185","234","748","511","581","752","1,007","678","347","41","0"
"부산광역시 서구 남부민제1동(2614065000)","4,556","4,556","101","148","365","375","464","790","1,086","777","401","48","1","2,298","2,298","45","73","188","222","264","446","542","357","151","10","0","2,258","2,258","56","75","177","153","200","344","544","420","250","38","1"
"부산광역시 서구 남부민제2동(2614066000)","8,189","8,189","177","396","655","591","919","1,382","1,915","1,429","651","73","1","4,055","4,055","98","204","374","322","506","758","925","628","230","10","0","4,134","4,134","79","192","281","269","413","624","990","801","421","63","1"
